Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
104,4200,49,224.434,97.163,52.3245,35.8519,0,198.272,115.089,198.272,79.237,250.596,79.237,250.596,115.089
105,4240,48,226.146,96.6235,51.8759,35.5446,0,200.208,114.396,200.208,78.8513,252.084,78.8513,252.084,114.396
106,4280,48,226.043,96.4615,51.8401,35.5201,0,200.123,114.222,200.123,78.7015,251.963,78.7015,251.963,114.222
107,4320,47,226.006,96.3554,51.6465,35.3874,0,200.182,114.049,200.182,78.6617,251.829,78.6617,251.829,114.049
108,4360,49,226.108,95.7611,51.4081,35.2241,0,200.404,113.373,200.404,78.149,251.812,78.149,251.812,113.373
109,4400,49,227.152,95.5151,51.9086,35.567,0,201.197,113.299,201.197,77.7316,253.106,77.7316,253.106,113.299
110,4440,48,227.329,95.489,51.804,35.4954,0,201.427,113.237,201.427,77.7413,253.231,77.7413,253.231,113.237
111,4480,48,227.021,95.8568,51.093,35.0082,0,201.475,113.361,201.475,78.3528,252.568,78.3528,252.568,113.361
112,4520,50,229.333,95.6823,51.3447,35.1806,0,203.661,113.273,203.661,78.092,255.006,78.092,255.006,113.273
113,4560,50,232.594,96.0084,51.6852,35.4139,0,206.752,113.715,206.752,78.3015,258.437,78.3015,258.437,113.715
114,4600,50,235.46,96.0569,52.2458,35.7981,0,209.337,113.956,209.337,78.1578,261.583,78.1578,261.583,113.956
115,4640,49,236.678,96.2971,52.1078,35.7035,0,210.624,114.149,210.624,78.4453,262.732,78.4453,262.732,114.149
116,4680,48,242.432,96.8654,51.2533,35.118,0,216.805,114.424,216.805,79.3064,268.059,79.3064,268.059,114.424
117,4720,48,245.506,97.299,51.5426,35.3163,0,219.735,114.957,219.735,79.6409,271.277,79.6409,271.277,114.957
118,4760,49,248.533,97.5081,51.4147,35.2286,0,222.826,115.122,222.826,79.8938,274.24,79.8938,274.24,115.122
119,4800,49,253.631,98.9108,51.003,34.9465,0,228.13,116.384,228.13,81.4376,279.133,81.4376,279.133,116.384
120,4840,48,255.446,100.066,51.0761,34.9966,0,229.908,117.565,229.908,82.5681,280.984,82.5681,280.984,117.565
121,4880,48,257.167,101.463,50.8351,34.8314,0,231.749,118.879,231.749,84.0473,282.585,84.0473,282.585,118.879
122,4920,49,258.352,102.382,50.9623,34.9186,0,232.87,119.841,232.87,84.9229,283.833,84.9229,283.833,119.841
123,4960,30,258.972,105.821,51.8596,35.5335,0,233.042,123.588,233.042,88.0542,284.902,88.0542,284.902,123.588
124,5000,31,259.04,106.724,50.4782,34.5869,0,233.801,124.017,233.801,89.4304,284.28,89.4304,284.28,124.017
125,5040,32,259.758,107.767,50.6211,34.6848,0,234.447,125.109,234.447,90.4246,285.068,90.4246,285.068,125.109
126,5080,33,262.641,110.242,51.4776,35.2717,0,236.902,127.878,236.902,92.6066,288.379,92.6066,288.379,127.878
127,5120,33,260.626,111.006,50.4325,34.5556,0,235.41,128.284,235.41,93.7281,285.843,93.7281,285.843,128.284
128,5160,34,261.022,112.606,50.1874,34.3877,0,235.928,129.8,235.928,95.412,286.116,95.412,286.116,129.8
129,5200,37,260.516,112.865,50.1148,34.3379,0,235.459,130.034,235.459,95.6959,285.573,95.6959,285.573,130.034
130,5240,36,260.631,112.354,50.4332,34.5561,0,235.414,129.632,235.414,95.0759,285.848,95.0759,285.848,129.632
131,5280,37,259.014,112.441,50.326,34.4826,0,233.851,129.683,233.851,95.1999,284.177,95.1999,284.177,129.682
132,5320,37,254.727,110.666,50.0677,34.3057,0,229.693,127.819,229.693,93.5135,279.761,93.5135,279.761,127.819
133,5360,39,253.35,109.905,50.1429,34.3572,0,228.279,127.083,228.279,92.7262,278.422,92.7262,278.422,127.083
134,5400,41,252.004,109.365,50.7336,34.7619,0,226.637,126.746,226.637,91.9838,277.371,91.9838,277.371,126.746
135,5440,43,250.415,107.993,50.2769,34.449,0,225.277,125.218,225.277,90.7688,275.554,90.7688,275.554,125.218
136,5480,45,249.424,106.009,50.3875,34.5248,0,224.23,123.271,224.23,88.7467,274.617,88.7467,274.617,123.271
137,5520,44,247.917,104.735,50.1863,34.3869,0,222.824,121.929,222.824,87.542,273.01,87.542,273.01,121.929
138,5560,46,245.353,100.61,50.6266,34.6886,0,220.04,117.954,220.04,83.2654,270.666,83.2654,270.666,117.954
139,5600,47,244.081,98.7242,50.2245,34.4131,0,218.969,115.931,218.969,81.5176,269.194,81.5176,269.194,115.931
140,5640,49,244.216,98.0952,50.618,34.6827,0,218.907,115.437,218.907,80.7539,269.525,80.7539,269.525,115.437
141,5680,50,243.202,97.6684,51.3715,35.199,0,217.516,115.268,217.516,80.0688,268.888,80.0688,268.888,115.268
142,5720,49,241.855,98.159,51.0648,34.9889,0,216.323,115.653,216.323,80.6646,267.388,80.6646,267.388,115.653
143,5760,50,240.826,98.2692,49.6223,34.0005,0,216.015,115.269,216.015,81.2689,265.638,81.2689,265.638,115.269
144,5800,51,240.442,98.6023,49.585,33.9749,0,215.649,115.59,215.649,81.6149,265.234,81.6149,265.234,115.59
145,5840,51,239.341,99.0499,49.9059,34.1948,0,214.388,116.147,214.388,81.9525,264.294,81.9525,264.294,116.147
146,5880,49,238.985,100.029,49.5169,33.9283,0,214.227,116.993,214.227,83.0651,263.744,83.0651,263.744,116.993
147,5920,47,238.017,100.82,49.503,33.9188,0,213.266,117.779,213.266,83.8605,262.769,83.8605,262.769,117.779
148,5960,49,237.349,101.73,49.1661,33.6879,0,212.766,118.574,212.766,84.8857,261.932,84.8857,261.932,118.574
149,6000,50,237.823,103.014,49.8781,34.1757,0,212.884,120.101,212.884,85.9257,262.762,85.9257,262.762,120.101
150,6040,51,236.045,104.726,49.1529,33.6788,0,211.468,121.566,211.468,87.8868,260.621,87.8868,260.621,121.566
151,6080,49,236.558,105.569,50.0707,34.3077,0,211.523,122.723,211.523,88.4156,261.594,88.4156,261.594,122.723
152,6120,50,235.389,106.834,49.3936,33.8438,0,210.693,123.755,210.693,89.9117,260.086,89.9117,260.086,123.755
153,6160,50,235.098,107.937,49.1001,33.6427,0,210.548,124.759,210.548,91.116,259.648,91.116,259.648,124.759
154,6200,50,234.857,108.51,49.2511,33.7461,0,210.232,125.383,210.232,91.6371,259.483,91.6371,259.483,125.383
155,6240,49,233.766,109.295,49.3826,33.8362,0,209.075,126.213,209.075,92.3771,258.457,92.3771,258.457,126.213
156,6280,49,232.735,110.299,48.8353,33.4612,0,208.317,127.029,208.317,93.5681,257.153,93.5681,257.153,127.029
157,6320,50,232.967,110.613,49.5084,33.9224,0,208.213,127.575,208.213,93.6522,257.721,93.6522,257.721,127.575
158,6360,50,232.896,111.007,49.2002,33.7112,0,208.296,127.863,208.296,94.1518,257.496,94.1518,257.496,127.863
159,6400,48,233.011,111.797,49.6692,34.0326,0,208.176,128.813,208.176,94.7807,257.846,94.7807,257.846,128.813
160,6440,49,233.2,112.225,49.5732,33.9668,0,208.413,129.209,208.413,95.2419,257.986,95.2419,257.986,129.209
161,6480,48,232.494,112.88,49.5281,33.9359,0,207.73,129.848,207.73,95.9122,257.258,95.9122,257.258,129.848
162,6520,50,232.719,113.037,49.7532,34.0901,0,207.842,130.083,207.842,95.9924,257.595,95.9924,257.595,130.083
163,6560,50,232.004,113.41,49.5061,33.9208,0,207.251,130.37,207.251,96.4493,256.757,96.4492,256.757,130.37
164,6600,33,255.693,113.163,37.7766,25.884,0,236.805,126.105,236.805,100.221,274.581,100.221,274.581,126.105
165,6640,34,262.892,112.273,25.405,17.4072,0,250.189,120.977,250.189,103.569,275.594,103.569,275.594,120.977
166,6680,33,273.019,110.458,23.1565,15.8665,0,261.441,118.392,261.441,102.525,284.597,102.525,284.597,118.392
167,6720,3,60.6056,180.371,283.959,194.564,0,-81.3738,277.653,-81.3738,83.0886,202.585,83.0886,202.585,277.653
168,6760,4,119.456,179.809,202.197,138.542,0,18.3571,249.08,18.3571,110.538,220.554,110.538,220.554,249.08
169,6800,8,210.274,115.193,221.379,151.686,0,99.5846,191.036,99.5846,39.3498,320.964,39.3498,320.964,191.036
170,6840,19,234.056,113.169,52.5345,35.9959,0,207.789,131.167,207.789,95.1707,260.324,95.1707,260.324,131.167
